Column1,player,position,foot,league,Squad_Rnk,nationality,value,age,height,pens_made,pens_att,cards_yellow,cards_red,minutes_90s,npxg_per_shot,npxg_net,assisted_shots,crosses_into_penalty_area,through_balls,crosses,throw_ins,sca,sca_dribbles,sca_shots,sca_fouled,gca_shots,gca_fouled,gca_og_for,fouls,fouled,offsides,interceptions,clearances,errors,carry_progressive_distance,own_goals,pens_won,pens_conceded,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,shots_total_per90,shots_on_target_per90,sca_per90,gca_per90,aerials_won,aerials_lost,aerials_won_pct,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_long,passes_long,passes_pct_long,passes_into_final_third,passes_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,passes_pressure,passes_switches,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca_passes_live,sca_passes_dead,gca_passes_live,gca_passes_dead,blocked_passes,passes_received,passes_received_pct,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_tackles_pct,gca_dribbles,dribbles_vs,dribbled_past,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,jerarquico,aglo,dbs
1977,Jordan Pickford,0,3,3,12,1,28000000,25,185,0,0,2,0,38.0,0.0,0.0,1,0,1,0,0,6,0,0,0,0,0,0,1,8,0,0,1,1,2090,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0,0,0.0,895,1373,65.2,31615,21723,152,152,100.0,378,854,44.3,49,4,1,956,417,144,137,67,540,75,758,865,236,0,179,5,59,5,1,3,3,0,0,0,634,99.7,0,0,0,0,0,0,0,0,0,0,0.0,0,5,5,0,1,0.0,0,8,3,37.5,8,0,0,0,0,0,1456,1266,1438,19,0,0,1042,4,0,0
2288,Matz Sels,0,1,1,10,0,6500000,27,188,0,0,0,0,27.0,0.0,0.0,1,0,1,0,0,4,0,0,0,0,0,0,1,5,0,0,1,0,1098,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.15,0.0,0,0,0.0,575,849,67.7,21204,14612,64,64,100.0,292,565,51.7,10,0,0,582,267,64,99,29,347,54,448,52,619,0,127,2,22,3,1,3,1,0,0,0,377,98.7,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,0,0,0.0,0,1,0,0.0,1,0,0,0,0,0,905,819,904,1,0,0,642,4,0,0
1725,BenoĂ®t Mukinayi,1,3,1,9,1,25000000,18,194,0,0,0,0,15.7,0.06,-0.6,3,0,0,0,5,5,0,1,0,0,0,0,19,13,0,19,83,1,2637,0,0,0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,0.64,0.19,0.32,0.0,53,26,67.1,807,928,87.0,17237,5764,246,269,91.4,144,193,74.6,62,2,66,904,24,19,139,36,676,126,126,710,153,38,0,3,17,12,15,4,0,0,0,15,694,98.0,0,0,0,0,22,12,15,6,1,5,38.5,0,13,8,5,7,71.4,6,124,44,35.5,64,53,7,26,11,1,1084,122,488,632,38,15,1063,4,0,0
1893,Leandro Paredes,3,1,1,1,0,20000000,25,180,0,0,2,0,9.0,0.03,-0.5,3,0,1,3,5,21,1,1,1,0,0,0,20,13,0,10,13,1,1934,1,0,0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,1.99,0.55,2.32,0.22,7,4,63.6,856,913,93.8,16287,4826,368,380,96.8,126,154,81.8,96,6,84,889,24,19,103,31,737,99,77,58,822,20,2,3,15,8,4,17,0,2,0,12,821,98.4,0,0,0,0,27,17,9,14,4,16,45.7,0,35,19,13,14,92.9,13,139,37,26.6,41,82,16,14,2,0,1002,29,220,718,129,1,979,4,0,0
1909,Mateo PavloviÄ‡,1,1,1,11,0,1000000,29,194,0,0,3,0,9.0,0.08,-0.6,0,0,0,0,0,4,0,1,0,0,0,0,11,3,0,7,52,2,536,0,0,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,0.78,0.33,0.44,0.11,39,12,76.5,299,335,89.3,6839,1763,73,81,90.1,59,71,83.1,12,0,13,329,6,6,44,16,239,58,38,38,252,29,1,0,2,1,3,3,0,1,0,2,265,95.0,0,0,0,0,6,3,4,2,0,3,33.3,0,9,6,0,0,0.0,0,59,14,23.7,41,13,5,3,1,0,414,57,232,184,18,11,408,4,0,0
2114,Mihailo RistiÄ‡,1,3,1,8,0,2000000,23,180,0,0,1,0,9.0,0.04,-0.3,11,9,0,19,51,19,1,2,0,0,0,0,15,5,1,2,13,0,1079,0,0,0,0.0,0.22,0.22,0.0,0.22,0.04,0.05,0.08,0.04,0.08,0.89,0.11,2.11,0.22,12,14,46.2,281,375,74.9,5404,1958,122,148,82.4,47,71,66.2,17,10,26,319,56,5,73,15,213,74,88,249,63,6,0,0,8,10,23,15,0,2,0,12,286,78.4,0,0,0,0,19,8,13,6,0,7,36.8,0,19,12,6,12,50.0,6,157,31,19.7,43,72,42,15,3,0,468,22,112,243,139,12,413,4,0,0
384,Gianluigi Buffon,0,1,5,1,1,1000000,41,192,0,0,0,0,9.0,0.0,0.0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,250,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.22,0.0,0,0,0.0,195,212,92.0,4527,2506,58,58,100.0,50,66,75.8,1,0,0,145,67,10,17,2,159,14,39,20,148,0,40,0,2,0,1,2,0,0,0,0,96,98.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,0,228,201,225,3,0,0,162,4,0,0
375,Jeffrey Bruma,1,1,5,7,0,3000000,27,189,0,0,1,0,9.0,0.14,-1.2,0,0,0,0,0,1,0,1,0,0,0,0,15,4,1,8,76,0,722,0,0,1,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,1.0,0.22,0.11,0.0,28,10,73.7,268,306,87.6,5979,1590,64,72,88.9,45,61,73.8,5,0,14,287,19,19,44,3,231,37,38,44,227,25,1,1,5,0,2,0,0,0,0,9,211,98.6,0,0,0,0,7,3,4,3,0,5,33.3,0,15,10,2,3,66.7,2,93,28,30.1,59,34,0,13,4,0,425,59,252,188,12,9,408,4,0,0
368,Dylan Bronn,1,1,1,15,0,4000000,24,186,0,0,0,0,9.0,0.02,0.0,0,0,0,0,2,1,0,0,0,0,0,0,4,5,0,6,69,0,439,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.11,0.0,12,10,54.5,239,293,81.6,6350,1772,37,43,86.0,79,115,68.7,12,0,9,280,13,11,33,19,190,29,74,29,245,13,2,0,8,2,3,1,0,0,0,3,235,99.6,0,0,0,0,11,7,8,3,0,5,55.6,0,9,4,1,2,50.0,1,76,33,43.4,53,22,1,13,10,0,395,66,254,153,6,3,383,4,0,0
2390,Benjamin Stambouli,1,1,5,12,0,9000000,28,180,0,0,2,0,9.0,0.0,0.0,0,0,1,1,0,2,0,0,0,0,0,0,9,4,0,17,45,0,1184,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,11,10,52.4,368,460,80.0,8561,3004,70,77,90.9,75,125,60.0,31,2,35,448,12,12,68,10,316,39,105,92,349,13,2,3,12,7,8,2,0,0,0,12,338,99.4,0,0,0,0,28,21,13,12,3,9,37.5,0,24,15,4,5,80.0,4,131,49,37.4,72,54,5,20,8,0,557,70,302,293,12,0,547,4,0,0
